"DATE","Year","Month","Day","Tmin","Tmax","Prec","ssp","gcm","scenario_year","yday","season","id"
"2000-09-16 12:00:00",2000,9,16,7.53,20.82,0.52,"ssp126","ACCESS-CM2","2075",260,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-17 12:00:00",2000,9,17,12.56,16.57,1.49,"ssp126","ACCESS-CM2","2075",261,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-18 12:00:00",2000,9,18,11.47,19.48,0,"ssp126","ACCESS-CM2","2075",262,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-19 12:00:00",2000,9,19,6.34,22.34,0.32,"ssp126","ACCESS-CM2","2075",263,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-20 12:00:00",2000,9,20,9.81,19.74,0.1,"ssp126","ACCESS-CM2","2075",264,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-21 12:00:00",2000,9,21,14.21,20.42,6.32,"ssp126","ACCESS-CM2","2075",265,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-22 12:00:00",2000,9,22,12.17,23.34,0,"ssp126","ACCESS-CM2","2075",266,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-23 12:00:00",2000,9,23,10.63,23.22,0.09,"ssp126","ACCESS-CM2","2075",267,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-24 12:00:00",2000,9,24,13.77,20.78,3.91,"ssp126","ACCESS-CM2","2075",268,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-25 12:00:00",2000,9,25,10.45,19.25,0,"ssp126","ACCESS-CM2","2075",269,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-26 12:00:00",2000,9,26,9.19,15.85,0.1,"ssp126","ACCESS-CM2","2075",270,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-27 12:00:00",2000,9,27,10.07,16.95,0,"ssp126","ACCESS-CM2","2075",271,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-28 12:00:00",2000,9,28,6.07,19.81,0,"ssp126","ACCESS-CM2","2075",272,2001,"ssp126--ACCESS-CM2--2075"
"2000-09-29 12:00:00",2000,9,29,11.6,13.64,4.81,"ssp126","ACCESS-CM2","2075",273,2001,"ssp126--ACCESS-CM2--2075"
